,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
88,Cc1c(Cl)ccc(OCC(=O)O)c1,FBGYNJKXMKWETB-UHFFFAOYSA-N,FBGYNJKXMKWETB,3.99,2013
89,Cc1ccc(-c2ccc(OC3CC(C(=O)NC(Cc4ccccc4)C(=O)NS(=O)(=O)c4ccccc4)N(C(=O)OC(C)(C)C)C3)cc2)cc1,FCVQNANSHMUPIU-UHFFFAOYSA-N,FCVQNANSHMUPIU,5.8,2015
90,CC(C)(C)Oc1ccc(OCCCn2ccc3ccc(OCC(=O)O)cc32)cc1,FCWRQHUQEMCTJM-UHFFFAOYSA-N,FCWRQHUQEMCTJM,5.73,2017
91,Cc1cc(OCCCc2c(C(=O)Nc3ccc(C#N)cc3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,FEGAMTXZFVBBFP-UHFFFAOYSA-N,FEGAMTXZFVBBFP,7.29,2015
92,Cc1cc(OCCCc2c3C(=O)N(c4ccc(C(=O)O)cc4)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,FFSOWTRCQAVDAW-UHFFFAOYSA-N,FFSOWTRCQAVDAW,8.705,2018
93,Cc1c2c(=O)n(-c3nc4c(cccc4)s3)[nH]c2cc(=O)n1Cc1ccccc1,FHSHYHJLZPUNPO-UHFFFAOYSA-N,FHSHYHJLZPUNPO,5.36,2008
94,Cc1c(-c2csc(Nc3ncccn3)n2)sc(N)n1,FHVNBKUGDCJKHS-UHFFFAOYSA-N,FHVNBKUGDCJKHS,5.43,2008
95,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3cc(CNC(=O)c4cccn4C)ccc3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,FHWAEJRHPVQMKO-UHFFFAOYSA-N,FHWAEJRHPVQMKO,7.52,2016
96,Cc1cc(OCCCc2c(C(=O)O)sc3cccc(Cl)c23)cc(C)c1Cl,FHXIXEGPMANBQN-UHFFFAOYSA-N,FHXIXEGPMANBQN,5.89,2013
97,CN1C(=O)C(=Cc2ccc(-c3c([N+](=O)[O-])cccc3)o2)SC1=Nc1cc(C(=O)O)c(Cl)cc1,FJJBXYXORIQWLQ-UHFFFAOYSA-N,FJJBXYXORIQWLQ,4.85,2008
98,O=C(O)c1c(CCCc2cccc3ccccc23)c2c(cccc2)o1,FJJCJILQICJOAD-UHFFFAOYSA-N,FJJCJILQICJOAD,4.84,2013
99,Cc1csc(NC(=O)c2cc(-c3ccco3)nc3ccccc23)n1,FJNSTSOBVHFVEK-UHFFFAOYSA-N,FJNSTSOBVHFVEK,4.895,2008
100,O=C(O)c1cc(-c2ccc(Br)cc2)cc(-c2ccc(Br)cc2)n1,FJRDKVUZOAPKNX-UHFFFAOYSA-N,FJRDKVUZOAPKNX,4.4,2018
101,N#CC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13,FNSJVQXUTIKAPS-UHFFFAOYSA-N,FNSJVQXUTIKAPS,7.04,2011
102,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3ccccc3)[nH]c3c2ccc(Cl)c3-c2c(C)nccc2)cc(C)c1Cl,FNYSLXHJFKQBHB-UHFFFAOYSA-N,FNYSLXHJFKQBHB,7.295,2016
103,O=C(O)c1cc2cccc3c2n1CCS3,FPAYQJNEBGJOAB-UHFFFAOYSA-N,FPAYQJNEBGJOAB,4.29,2015
104,Cc1c(Cl)c(C)cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)c1,FQKXEZIKGBCCDX-UHFFFAOYSA-N,FQKXEZIKGBCCDX,6.52,2013
105,COc1cc2c(cc1)n(-c1ccc(-c3ccccc3)cc1)c(C)c2CC(=O)NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccccc1,FSBNKYLJYHSZQQ-UHFFFAOYSA-N,FSBNKYLJYHSZQQ,6.02,2017
106,CCCOc1ccc(CC(NC(=O)C2CC(Oc3ccc(-c4ccc(C)cc4)cc3)CN2C(=O)OC(C)(C)C)C(=O)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,FSGLXWJBJUODHC-UHFFFAOYSA-N,FSGLXWJBJUODHC,6.05,2017
107,O=C(O)c1cc2c(cc(Cl)cc2Br)o1,FSMYDGIHIYJHHE-UHFFFAOYSA-N,FSMYDGIHIYJHHE,4.05,2013
108,CC(C)c1ccc(Sc2cn(Cc3ccccc3)c(=O)c(C#N)c2)cc1,FTPTVKAUOBTHMI-UHFFFAOYSA-N,FTPTVKAUOBTHMI,4.82,2013
109,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)c3cccc(F)c3)[nH]c3ccccc23)cc(C)c1Cl,FTTGSEYXXAOJHN-UHFFFAOYSA-N,FTTGSEYXXAOJHN,7.0,2016
110,O=C(Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)c1ccc(Br)cc1,FXSMHFOLAPYERG-UHFFFAOYSA-N,FXSMHFOLAPYERG,5.39,2012
111,CC1Cn2c(C(=O)O)cc3cccc(c32)S1,FZQNKPROVWTNOO-UHFFFAOYSA-N,FZQNKPROVWTNOO,4.46,2015
112,Cc1cc(OCCCc2c(C(=O)NCc3cc(C(=O)O)ccc3)[nH]c3c2cccc3-c2c(C)n(C)nc2C)cc(C)c1Cl,GBMABQVZFQQUKD-UHFFFAOYSA-N,GBMABQVZFQQUKD,7.14,2018
113,Cc1c(-c2c(C)cc3c(C(C)C)c(O)c(O)c(C=NCCCCC(=O)O)c3c2O)c(O)c2c(C=NCCCCC(=O)O)c(O)c(O)c(C(C)C)c2c1,GCCMPDWACUITTL-UHFFFAOYSA-N,GCCMPDWACUITTL,7.07,2016
114,Cn1c(C(=O)O)cc2c1ccc(Br)c2,GCGFIFNQFLLJIR-UHFFFAOYSA-N,GCGFIFNQFLLJIR,4.09,2013
115,COc1ccc(-c2nc(C(=O)O)cc(-c3ccc(Br)cc3)c2)cc1,GDBQGUJOOUIMTF-UHFFFAOYSA-N,GDBQGUJOOUIMTF,4.4,2018
116,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,GFWMYYSJLSUPMD-UHFFFAOYSA-N,GFWMYYSJLSUPMD,6.5,2013
117,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(Cc1ccc(Br)cc1)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,GJNNQNGEIJNCML-UHFFFAOYSA-N,GJNNQNGEIJNCML,7.13,2015
118,CC(=O)NCCS(=O)(=O)NC(=O)c1c(CCCOc2cc(C)c(Cl)c(C)c2)c2c(cc(Cl)cc2)[nH]1,GKHXEHAANGIXOE-UHFFFAOYSA-N,GKHXEHAANGIXOE,6.68,2016
119,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)c3ccc(F)cc3)[nH]c3ccccc23)cc(C)c1Cl,GKTQSVKGYNEZCV-UHFFFAOYSA-N,GKTQSVKGYNEZCV,6.93,2016
120,COc1c2ccccc2c(NS(=O)(=O)c2ccc(Br)cc2)cc1SCC(=O)O,GKYKQIMOHSMRSO-UHFFFAOYSA-N,GKYKQIMOHSMRSO,4.06,2014
121,O=C(Nc1nc2c(cccc2)s1)c1c2CN(c3nc(C(=O)O)c(CCCOc4ccccc4)s3)CCc2ccc1,GMBBUSJVBYODHI-UHFFFAOYSA-N,GMBBUSJVBYODHI,4.84,2014
122,O=C(O)COc1ccc2ccn(CCCOc3cccc4ccccc34)c2c1,GMKPEGHVQUETQQ-UHFFFAOYSA-N,GMKPEGHVQUETQQ,5.59,2017
123,Cc1ccc(-c2cc(-c3ccc(F)cc3)nc3c2c(N)ncn3)cc1,GNOZTUOADYKOFQ-UHFFFAOYSA-N,GNOZTUOADYKOFQ,5.18,2008
124,COc1ccc(C=C2SC(=O)N(CCC(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)C2=O)cc1,GOGUNBUEDXIKLB-UHFFFAOYSA-N,GOGUNBUEDXIKLB,5.465,2008
