,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
104,1.0,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,SEDRVEWTPRTLOZ-DYKIIFRCSA-N,SEDRVEWTPRTLOZ
105,1.0,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,OIFWQOKDSPDILA-XLPZGREQSA-N,OIFWQOKDSPDILA
106,1.0,O=C1c2cccc(NCCNCCO)c2C(=O)c2cccc(NCCNCCO)c21,ZDHVBUZVBKISRJ-UHFFFAOYSA-N,ZDHVBUZVBKISRJ
107,1.0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,ALWKGYPQUAPLQC-UHFFFAOYSA-N,ALWKGYPQUAPLQC
108,0.0,O=C1CC(Sc2ccccc2)C2(OCCO2)C(Sc2ccccc2)C1,DBRUMVVSNWOTCR-UHFFFAOYSA-N,DBRUMVVSNWOTCR
109,1.0,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c65)c78,FIIAPJASQSDOKY-UHFFFAOYSA-N,FIIAPJASQSDOKY
110,1.0,CN(C)CCNC(O)=c1ccc2c3c1nc1ccc(O)cc1c3nn2CCN(C)C,BQRLZSCBJKQBQT-UHFFFAOYSA-N,BQRLZSCBJKQBQT
111,1.0,CN(C)CCn1c(=O)c2ccc3c4c(nn3CCN(C)C)c3ccccc3n(c1=O)c24,MHKVVLLUWFCOIB-UHFFFAOYSA-N,MHKVVLLUWFCOIB
112,1.0,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,ZRCVYEYHRGVLOC-UHFFFAOYSA-N,ZRCVYEYHRGVLOC
113,1.0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4,PKVRCIRHQMSYJX-AIFWHQITSA-N,PKVRCIRHQMSYJX
114,1.0,CC(NC(C)(C)C)C(O)c1cccc(Cl)c1,NDPTTXIBLSWNSF-UHFFFAOYSA-N,NDPTTXIBLSWNSF
115,1.0,O=C(O)CN1C[C@@H](c2cccs2)SCC(NC(CCc2ccccc2)C(=O)O)C1=O,KZVWEOXAPZXAFB-HTWSVDAQSA-N,KZVWEOXAPZXAFB
