molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
2307178,4.12,COC(=O)Cc1cccc(C[C@H](N)C(=O)O)c1,UUYOJJYHZFAUQI-JTQLQIEISA-N,Q01650
2313034,4.77,CC(C)(C)OC(=O)c1cccc(C[C@H](N)C(=O)O)c1,ZFAGSQFMGXPASJ-NSHDSACASA-N,Q01650
2308786,4.54,N[C@@H](Cc1cccc(C(=O)OCCO)c1)C(=O)O,XKUGEYZFKRHITK-JTQLQIEISA-N,Q01650
84592,4.07,CC(C)C[C@H](N)C(=O)O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,Q01650
65900,4.17,CC(C)[C@H](N)C(=O)O,KZSNJWFQEVHDMF-BYPYZUCNSA-N,Q01650
112655,4,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-LURJTMIESA-N,Q01650
2304026,4.56,Cl.N[C@@H](Cc1ccc(OC(=O)NCCc2ccc(O)c(O)c2)cc1)C(=O)O,CELSESRXHBYWPV-UQKRIMTDSA-N,Q01650
2307115,4.49,Cl.NC(Cc1cccc(C(=O)NCCc2ccc(O)c(O)c2)c1)C(=O)O,OILCJGMXMXWNHG-UHFFFAOYSA-N,Q01650
2420803,5,CCS(=O)(=O)c1ccc2oc(-c3ccc4c(c3)C=C[C@H](O)[C@H]4O)nc2c1,NYOSMIIPIQXLMM-WMZOPIPTSA-N,Q96FL8
84516,4.16,N[C@@H](Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-QMMMGPOBSA-N,Q01650
2306975,4.16,N[C@@H](Cc1cccnc1)C(=O)O,DFZVZEMNPGABKO-ZETCQYMHSA-N,Q01650
2313741,4,N[C@@H](Cc1ccncc1)C(=O)O,FQFVANSXYKWQOT-ZETCQYMHSA-N,Q01650
2397019,6.01,FC(F)(F)Oc1ccc(/N=c2\ssnc2Cl)nc1,VHNMNFSCLSUTHD-AUWJEWJLSA-N,Q01650
2409097,7.22,Nc1cc(COc2c(Cl)cc(C[C@H](N)C(=O)O)cc2Cl)c2oc(-c3ccccc3)nc2c1,XNRZJPQTMQZBCE-SFHVURJKSA-N,Q01650
2409097,6.1,Nc1cc(COc2c(Cl)cc(C[C@H](N)C(=O)O)cc2Cl)c2oc(-c3ccccc3)nc2c1,XNRZJPQTMQZBCE-SFHVURJKSA-N,Q01650
2394016,4.74,CNC(=O)COc1ccc(-c2c(C#N)c(NC(=O)c3cccc(C[C@H](N)C(=O)O)c3)n3c(nc4ccccc43)c2C#N)cc1,MLNOOVGSMCJSCE-DEOSSOPVSA-N,Q01650
2400280,4.36,CC1(C)CC[C@]2(C(=O)NCC(F)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,UBRASLQCAYTTEB-KPOXMGGZSA-N,Q96T53
1101586,4.42,CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,ITFBYYCNYVFPKD-FMIDTUQUSA-N,Q96T53
1139916,4.64,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,WPTTVJLTNAWYAO-KPOXMGGZSA-N,Q96T53
2478982,5.46,CC(C)CCN1CCN([C@@H](CNCc2ccccc2)CC2CCCCC2)C[C@@H]1CC(C)C,GCNDGNXMQOEIIO-WDYNHAJCSA-N,Q01650
2501175,6.83,COC(=O)N[C@@H](C)C(=O)N1CCC(CCc2c(N)nc(C)nc2Cl)CC1,CTAGBUIPLIEQID-JTQLQIEISA-N,Q96T53
2507976,7.02,Cc1nc(N)c(CCC2CCN(C(=O)[C@H](C)NC(=O)c3cnc(C)s3)CC2)c(Cl)n1,KLRWUOFULIPURB-NSHDSACASA-N,Q96T53
2488855,7.26,Cc1nc(Cl)nc(N)c1CCC1CCN(C(=O)[C@H](C)NC(=O)c2cn[nH]c2C)CC1,XMPTZLSWBARYOE-ZDUSSCGKSA-N,Q96T53
2503603,7.16,Cc1nc(C(F)(F)F)nc(N)c1CCC1CCN(C(=O)[C@H](C)NC(=O)c2ccnn2C)CC1,FJLGBNQKFIHNGX-ZDUSSCGKSA-N,Q96T53
2488884,7.16,C[C@H](NC(=O)c1ccn(C)n1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,DDNFORUESGOAET-NSHDSACASA-N,Q96T53
2490205,6.72,C[C@H](NC(=O)C1CC1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,OHEQORXVQPCHAQ-JTQLQIEISA-N,Q96T53
2489081,8.22,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)[C@H](CN)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,OXOPLJKMWZGJTQ-SIWPFOTRSA-N,Q96T53
