molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
1154311,6.44,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)C(C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,RLMLFADXHJLPSQ-XNNIJQTJSA-N,P08183
1544071,5.57,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC1=O,QNUNLUGOYVFWOP-QROBVOSWSA-N,P08183
1544070,5.96,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H]([C@H](C)CO)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,UYMZQZSAAAVOHF-SDVDAVRTSA-N,P08183
37255,6.95,COC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,RCMQDUQWTWKKOT-UHFFFAOYSA-N,P33527
37239,5.92,Cn1c2cc(Cl)ncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,XYFYDMWBHKXERO-UHFFFAOYSA-N,P33527
37032,6.57,Cn1c2cccnc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,VXFHXZLPYZXJKI-UHFFFAOYSA-N,P33527
37370,6.09,COc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,COOBTSQINOJVKH-UHFFFAOYSA-N,P33527
37618,7.1,O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,OKLXZLLQLHWOGW-UHFFFAOYSA-N,P33527
36868,6.78,CN(C)c1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,NICIICGVYGSKJC-UHFFFAOYSA-N,P33527
37492,5.57,CC(=O)Nc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,DVFIGGSXSAHPRZ-UHFFFAOYSA-N,P33527
38362,6.43,Fc1ccc(CCN2CCN(c3[nH]cnc4c5c(Cl)cccc5nc3-4)CC2)cc1F,QJOQIWIRHONMSO-UHFFFAOYSA-N,P33527
37345,6.58,CC(C)Oc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,WFSCZQNQFUCKDD-UHFFFAOYSA-N,P33527
36241,6.17,O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,BEQXWFPRVYMACF-UHFFFAOYSA-N,P33527
37227,7.06,Cc1nc2c(c(C(N)=O)c1[N+](=O)[O-])c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,MWQKYTZABMLCGO-UHFFFAOYSA-N,P33527
37081,6.74,NC(=O)c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,OSTWYWCXYVRVGR-UHFFFAOYSA-N,P33527
38434,6.83,Cn1c2cccc([N+](=O)[O-])c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,DMLYJUNKHVPUCR-UHFFFAOYSA-N,P33527
37381,6.76,COc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,GXENRQLSQOSEPS-UHFFFAOYSA-N,P33527
36841,6.89,Cn1c2ccnc(Cl)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,GLTOTRUXBZKBKI-UHFFFAOYSA-N,P33527
36190,6.93,O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,NOYHLVPSJIKFBF-UHFFFAOYSA-N,P33527
37059,6.88,O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,RYGJKZCQNUAGKW-UHFFFAOYSA-N,P33527
