,SMILES_raw,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
55,Cl.N[C@@H](Cc1ccc(OC(=O)NCCc2ccc(O)c(O)c2)cc1)C(=O)O,Non-substrate,NC(Cc1ccc(OC(=O)NCCc2ccc(O)c(O)c2)cc1)C(=O)O,RKRDSKYZMBDOCT-UHFFFAOYSA-N,RKRDSKYZMBDOCT
56,Cl.NC(Cc1cccc(C(=O)NCCc2ccc(O)c(O)c2)c1)C(=O)O,Non-substrate,NC(Cc1cccc(C(=O)NCCc2ccc(O)c(O)c2)c1)C(=O)O,SBINIUGKIMWCGA-UHFFFAOYSA-N,SBINIUGKIMWCGA
57,CCS(=O)(=O)c1ccc2oc(-c3ccc4c(c3)C=C[C@H](O)[C@H]4O)nc2c1,Non-substrate,CCS(=O)(=O)c1ccc2oc(-c3ccc4c(c3)C=C[C@H](O)[C@H]4O)nc2c1,NYOSMIIPIQXLMM-WMZOPIPTSA-N,NYOSMIIPIQXLMM
58,FC(F)(F)Oc1ccc(/N=c2\ssnc2Cl)nc1,Substrate,FC(F)(F)Oc1ccc(/N=c2\ssnc2Cl)nc1,VHNMNFSCLSUTHD-AUWJEWJLSA-N,VHNMNFSCLSUTHD
59,Nc1cc(COc2c(Cl)cc(C[C@H](N)C(=O)O)cc2Cl)c2oc(-c3ccccc3)nc2c1,Substrate,Nc1cc(COc2c(Cl)cc(CC(N)C(=O)O)cc2Cl)c2oc(-c3ccccc3)nc2c1,XNRZJPQTMQZBCE-UHFFFAOYSA-N,XNRZJPQTMQZBCE
60,CNC(=O)COc1ccc(-c2c(C#N)c(NC(=O)c3cccc(C[C@H](N)C(=O)O)c3)n3c(nc4ccccc43)c2C#N)cc1,Non-substrate,CNC(=O)COc1ccc(-c2c(C#N)c(NC(=O)c3cccc(CC(N)C(=O)O)c3)n3c(nc4ccccc43)c2C#N)cc1,MLNOOVGSMCJSCE-UHFFFAOYSA-N,MLNOOVGSMCJSCE
61,CC1(C)CC[C@]2(C(=O)NCC(F)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Non-substrate,CC1(C)CC[C@]2(C(=O)NCC(F)(F)F)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,UBRASLQCAYTTEB-FUARBKCBSA-N,UBRASLQCAYTTEB
62,CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Non-substrate,CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,ITFBYYCNYVFPKD-UVPXPBJQSA-N,ITFBYYCNYVFPKD
63,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,Non-substrate,COC(=O)[C@]12CCC(C)(C)C[C@H]1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,WPTTVJLTNAWYAO-FUARBKCBSA-N,WPTTVJLTNAWYAO
64,CC(C)CCN1CCN([C@@H](CNCc2ccccc2)CC2CCCCC2)C[C@@H]1CC(C)C,Substrate,CC(C)CCN1CCN([C@@H](CNCc2ccccc2)CC2CCCCC2)C[C@@H]1CC(C)C,GCNDGNXMQOEIIO-WDYNHAJCSA-N,GCNDGNXMQOEIIO
